date,city,pm2_5,pm10,no2,temp,humidity
2021-08-25,Islamabad,105.42,141.35,102.82,36.6,33
2021-08-25,Islamabad,90.46,121.66,66.49,34.8,35
2021-08-25,Islamabad,80.97,109.04,37.01,33.4,40
2021-08-25,Islamabad,75.83,105.07,19.36,32.4,44
2021-08-25,Islamabad,78.01,116.28,10.37,32.3,44
2021-08-25,Islamabad,81.11,122.57,8.82,32.0,45
2021-08-26,Islamabad,80.83,120.59,9.34,31.6,45
2021-08-26,Islamabad,76.99,113.67,11.31,31.2,46
2021-08-26,Islamabad,77.3,115.13,19.19,31.4,45
2021-08-26,Islamabad,81.72,124.7,26.39,30.9,48
2021-08-26,Islamabad,89.88,159.42,15.94,30.1,53
2021-08-26,Islamabad,93.46,175.41,11.31,29.2,54
2021-08-26,Islamabad,96.03,184.46,8.65,29.0,56
2021-08-26,Islamabad,96.93,203.48,6.34,30.2,54
2021-08-26,Islamabad,97.61,225.98,5.83,31.8,50
2021-08-26,Islamabad,99.2,244.46,6.17,33.2,46
2021-08-26,Islamabad,102.02,262.49,7.2,34.4,43
2021-08-26,Islamabad,105.17,279.05,9.34,35.7,38
2021-08-26,Islamabad,106.13,285.84,13.2,36.7,34
2021-08-26,Islamabad,105.05,283.1,30.16,37.5,31
2021-08-26,Islamabad,102.97,277.5,38.39,37.8,30
2021-08-26,Islamabad,101.39,272.49,30.85,38.1,28
2021-08-26,Islamabad,99.2,266.65,20.56,38.1,26
2021-08-26,Islamabad,95.37,245.72,16.97,37.3,28
2021-08-26,Islamabad,90.67,216.69,16.45,36.0,32
2021-08-26,Islamabad,85.06,187.0,15.08,34.2,35
2021-08-26,Islamabad,80.13,160.17,12.51,33.0,39
2021-08-26,Islamabad,76.38,141.62,9.77,32.4,42
2021-08-26,Islamabad,73.7,130.17,8.57,31.9,43
2021-08-26,Islamabad,71.57,123.43,8.65,31.1,47
2021-08-27,Islamabad,70.29,120.44,10.2,30.5,50
2021-08-27,Islamabad,70.06,124.4,14.74,30.3,51
2021-08-27,Islamabad,73.62,136.4,33.24,29.9,53
2021-08-27,Islamabad,78.88,151.79,56.89,29.4,56
2021-08-27,Islamabad,79.92,197.73,28.79,28.6,60
2021-08-27,Islamabad,87.66,225.55,23.31,28.2,63
2021-08-27,Islamabad,100.68,248.29,19.19,28.1,64
2021-08-27,Islamabad,112.2,292.58,9.51,29.3,59
2021-08-27,Islamabad,115.34,319.23,7.2,31.0,53
2021-08-27,Islamabad,116.09,333.66,7.63,32.7,48
2021-08-27,Islamabad,114.57,341.85,8.14,33.9,44
2021-08-27,Islamabad,111.03,340.35,9.51,35.3,38
2021-08-27,Islamabad,105.98,331.48,12.68,36.5,34
2021-08-27,Islamabad,104.82,325.06,30.16,37.3,31
2021-08-27,Islamabad,108.12,323.55,50.04,37.8,30
2021-08-27,Islamabad,112.4,319.17,49.35,38.0,29
2021-08-27,Islamabad,106.18,268.6,31.53,37.8,29
2021-08-27,Islamabad,95.78,208.49,21.76,37.3,31
2021-08-27,Islamabad,91.18,182.17,20.22,36.0,36
2021-08-27,Islamabad,85.75,160.32,17.48,34.4,39
2021-08-27,Islamabad,79.65,138.25,10.8,33.5,43
2021-08-27,Islamabad,72.63,126.16,5.83,32.4,47
2021-08-27,Islamabad,64.08,112.9,3.86,30.1,59
2021-08-27,Islamabad,57.47,100.39,3.64,28.9,66
2021-08-28,Islamabad,53.04,91.07,4.33,29.4,62
2021-08-28,Islamabad,51.4,86.61,6.43,29.7,59
2021-08-28,Islamabad,52.43,87.08,15.25,27.5,70
2021-08-28,Islamabad,56.06,92.32,30.85,27.5,69
2021-08-28,Islamabad,59.82,98.57,38.04,27.0,70
2021-08-28,Islamabad,62.82,102.84,37.01,24.5,80
2021-08-28,Islamabad,66.9,112.06,30.5,24.4,78
2021-08-28,Islamabad,65.7,136.3,12.0,26.3,70
2021-08-28,Islamabad,65.89,143.14,7.54,27.7,63
2021-08-28,Islamabad,69.08,146.34,7.45,29.6,54
2021-08-28,Islamabad,74.66,151.07,9.6,30.8,49
2021-08-28,Islamabad,80.83,154.49,15.42,32.5,42
2021-08-28,Islamabad,83.62,154.54,24.68,33.3,41
2021-08-28,Islamabad,89.42,157.65,77.46,34.0,40
2021-08-28,Islamabad,98.24,167.44,130.24,34.6,38
2021-08-28,Islamabad,109.57,178.74,150.8,35.2,37
2021-08-28,Islamabad,118.16,186.81,137.09,35.5,36
2021-08-28,Islamabad,112.33,176.22,101.45,34.7,38
2021-08-28,Islamabad,93.32,147.71,66.49,33.3,42
2021-08-28,Islamabad,73.94,113.75,39.76,31.7,45
2021-08-28,Islamabad,63.55,91.63,31.19,31.1,47
2021-08-28,Islamabad,56.44,77.52,25.36,31.1,47
2021-08-28,Islamabad,52.45,69.78,23.31,29.6,51
2021-08-28,Islamabad,48.47,62.73,20.56,28.8,53
2021-08-29,Islamabad,42.74,53.96,17.14,28.9,51
2021-08-29,Islamabad,36.23,45.3,13.2,28.8,51
2021-08-29,Islamabad,34.18,42.59,18.51,27.0,61
2021-08-29,Islamabad,35.06,46.86,28.45,25.0,74
2021-08-29,Islamabad,37.09,55.4,30.5,24.8,75
2021-08-29,Islamabad,37.05,57.78,28.79,24.1,79
2021-08-29,Islamabad,39.48,59.81,28.1,25.0,75
2021-08-29,Islamabad,40.46,58.99,12.51,25.7,71
2021-08-29,Islamabad,46.06,62.28,9.43,27.2,65
2021-08-29,Islamabad,52.48,67.53,9.94,29.2,56
2021-08-29,Islamabad,55.2,68.95,10.88,31.0,50
2021-08-29,Islamabad,54.99,67.52,13.37,32.4,45
2021-08-29,Islamabad,53.59,65.39,19.02,33.7,41
2021-08-29,Islamabad,62.18,74.94,106.93,34.3,38
2021-08-29,Islamabad,77.12,92.17,174.11,34.8,36
2021-08-29,Islamabad,97.71,114.96,178.22,35.2,34
2021-08-29,Islamabad,123.87,143.33,183.7,35.3,33
2021-08-29,Islamabad,150.33,171.29,178.22,34.6,36
2021-08-29,Islamabad,150.89,171.42,152.17,33.2,42
2021-08-29,Islamabad,122.9,141.02,122.01,31.5,45
2021-08-29,Islamabad,103.66,121.01,94.59,30.6,49
2021-08-29,Islamabad,92.05,109.27,73.34,30.2,50
2021-08-29,Islamabad,84.42,101.57,59.63,27.7,60
2021-08-29,Islamabad,87.44,105.21,58.26,27.9,54
2021-08-30,Islamabad,94.44,111.38,67.17,27.5,54
2021-08-30,Islamabad,70.62,81.52,40.44,27.3,55
2021-08-30,Islamabad,48.02,59.55,31.19,26.6,60
2021-08-30,Islamabad,43.81,55.42,41.81,25.9,65
2021-08-30,Islamabad,35.4,46.65,21.08,24.5,73
2021-08-30,Islamabad,35.4,43.12,18.34,24.5,72
2021-08-30,Islamabad,33.96,40.33,18.17,24.8,70
2021-08-30,Islamabad,31.77,38.3,17.82,25.6,69
2021-08-30,Islamabad,31.32,39.78,17.82,26.8,64
2021-08-30,Islamabad,34.91,46.68,19.71,27.9,62
2021-08-30,Islamabad,39.25,56.18,20.56,28.9,58
2021-08-30,Islamabad,38.7,57.11,21.42,31.4,50
2021-08-30,Islamabad,37.07,52.72,22.96,32.4,47
2021-08-30,Islamabad,42.65,54.88,49.35,33.4,44
2021-08-30,Islamabad,50.99,61.53,68.55,34.2,40
2021-08-30,Islamabad,55.02,64.85,68.55,34.3,38
2021-08-30,Islamabad,58.76,69.34,78.14,34.3,38
2021-08-30,Islamabad,64.23,76.72,76.77,33.6,39
2021-08-30,Islamabad,67.59,81.77,69.92,31.2,51
2021-08-30,Islamabad,67.16,81.71,65.8,29.0,57
2021-08-30,Islamabad,69.86,84.59,63.75,29.0,56
2021-08-30,Islamabad,80.13,97.05,62.38,28.9,56
2021-08-30,Islamabad,81.65,99.69,56.21,27.6,61
2021-08-30,Islamabad,70.74,85.82,49.35,27.1,64
2021-08-31,Islamabad,62.84,73.82,38.04,27.3,63
2021-08-31,Islamabad,70.47,79.94,15.25,27.0,63
2021-08-31,Islamabad,54.45,65.92,18.17,26.6,62
2021-08-31,Islamabad,43.46,56.44,28.1,25.2,69
2021-08-31,Islamabad,40.4,54.01,28.1,23.6,76
2021-08-31,Islamabad,40.05,52.74,21.25,23.9,72
2021-08-31,Islamabad,39.94,50.61,15.08,24.4,70
2021-08-31,Islamabad,37.81,47.57,9.77,25.5,65
2021-08-31,Islamabad,36.31,46.02,8.74,27.3,55
2021-08-31,Islamabad,36.53,45.91,9.77,28.9,50
2021-08-31,Islamabad,39.93,49.2,12.85,30.2,47
2021-08-31,Islamabad,46.98,56.23,19.36,30.7,47
2021-08-31,Islamabad,53.82,63.25,27.76,31.8,44
2021-08-31,Islamabad,62.44,73.05,54.15,32.4,42
2021-08-31,Islamabad,69.25,81.08,63.75,32.7,42
2021-08-31,Islamabad,68.5,80.24,54.15,32.7,42
2021-08-31,Islamabad,67.0,79.1,67.17,32.7,42
2021-08-31,Islamabad,70.37,84.09,85.0,32.0,44
2021-08-31,Islamabad,73.03,88.34,79.51,30.9,50
2021-08-31,Islamabad,73.78,89.82,71.97,29.7,52
2021-08-31,Islamabad,78.79,96.41,66.49,29.1,54
2021-08-31,Islamabad,91.26,112.82,66.49,28.7,55
2021-08-31,Islamabad,102.21,127.72,65.12,28.1,58
2021-08-31,Islamabad,104.08,131.46,59.63,27.4,60
2021-09-01,Islamabad,95.62,121.19,52.78,27.1,61
2021-09-01,Islamabad,81.76,102.47,44.55,25.5,69
2021-09-01,Islamabad,73.99,92.81,40.44,24.8,73
2021-09-01,Islamabad,74.81,93.31,46.61,24.8,74
2021-09-01,Islamabad,75.67,87.44,45.24,24.8,74
2021-09-01,Islamabad,89.65,100.83,40.78,24.6,75
2021-09-01,Islamabad,117.68,129.51,32.56,24.7,75
2021-09-01,Islamabad,102.75,114.77,13.2,25.8,69
2021-09-01,Islamabad,76.51,88.28,8.57,27.1,64
2021-09-01,Islamabad,61.17,72.42,8.57,28.2,61
2021-09-01,Islamabad,48.69,59.21,8.82,29.4,56
2021-09-01,Islamabad,40.63,50.61,10.88,31.1,48
2021-09-01,Islamabad,35.74,45.49,15.77,32.1,44
2021-09-01,Islamabad,41.67,53.51,87.05,32.9,40
2021-09-01,Islamabad,51.55,66.83,115.16,33.3,39
2021-09-01,Islamabad,56.52,74.61,91.85,33.3,39
2021-09-01,Islamabad,68.31,90.55,80.88,33.0,40
2021-09-01,Islamabad,86.72,114.2,78.83,32.3,42
2021-09-01,Islamabad,100.02,131.24,80.88,30.7,48
2021-09-01,Islamabad,102.64,133.88,84.31,29.5,50
2021-09-01,Islamabad,106.33,137.8,85.0,29.0,51
2021-09-01,Islamabad,113.54,149.06,79.51,28.5,52
2021-09-01,Islamabad,114.24,152.87,71.97,28.0,54
2021-09-01,Islamabad,113.52,153.39,68.55,27.7,54
2021-09-02,Islamabad,119.42,160.45,69.92,27.4,55
2021-09-02,Islamabad,126.87,168.97,72.66,26.6,58
2021-09-02,Islamabad,142.53,186.65,74.03,26.5,59
2021-09-02,Islamabad,166.34,210.74,81.57,26.4,59
2021-09-02,Islamabad,94.47,114.04,70.6,26.3,59
2021-09-02,Islamabad,103.5,121.57,64.43,25.7,62
2021-09-02,Islamabad,119.81,137.09,52.09,25.4,64
2021-09-02,Islamabad,71.17,85.71,18.68,26.8,60
2021-09-02,Islamabad,58.8,73.37,9.43,28.4,53
2021-09-02,Islamabad,51.89,67.03,9.0,29.9,50
2021-09-02,Islamabad,41.91,57.99,9.17,31.3,47
2021-09-02,Islamabad,35.53,52.06,10.71,32.4,43
2021-09-02,Islamabad,32.73,49.26,14.57,33.7,39
2021-09-02,Islamabad,47.38,66.79,119.27,34.4,36
2021-09-02,Islamabad,70.2,94.49,138.46,34.8,34
2021-09-02,Islamabad,87.37,115.98,126.12,34.8,33
2021-09-02,Islamabad,107.07,140.0,138.46,34.5,33
2021-09-02,Islamabad,137.79,177.13,161.77,33.7,35
2021-09-02,Islamabad,163.43,209.27,171.36,32.0,40
2021-09-02,Islamabad,154.76,199.99,163.14,31.0,40
2021-09-02,Islamabad,124.96,164.37,134.35,30.5,41
2021-09-02,Islamabad,96.28,128.84,90.48,29.7,44
2021-09-02,Islamabad,80.21,103.32,43.18,29.0,46
2021-09-02,Islamabad,81.0,99.34,18.85,28.7,48
2021-09-03,Islamabad,86.35,102.07,14.05,28.4,49
2021-09-03,Islamabad,91.93,106.45,16.62,27.9,50
2021-09-03,Islamabad,100.37,114.87,34.27,27.4,51
2021-09-03,Islamabad,111.34,125.52,52.78,27.1,52
2021-09-03,Islamabad,106.97,119.02,30.16,26.9,52
2021-09-03,Islamabad,104.69,117.28,27.42,26.6,52
2021-09-03,Islamabad,116.36,129.44,25.02,26.4,52
2021-09-03,Islamabad,94.9,108.99,12.17,27.8,50
2021-09-03,Islamabad,76.28,91.16,8.65,29.3,46
2021-09-03,Islamabad,66.16,81.15,9.0,30.5,44
2021-09-03,Islamabad,59.01,73.92,9.77,31.7,42
2021-09-03,Islamabad,57.38,72.46,11.82,33.1,38
2021-09-03,Islamabad,57.27,72.71,16.79,34.3,34
2021-09-03,Islamabad,75.34,94.51,145.32,35.1,32
2021-09-03,Islamabad,106.72,132.82,197.41,35.5,30
2021-09-03,Islamabad,140.96,173.81,200.15,35.5,30
2021-09-03,Islamabad,173.96,212.98,222.09,35.0,30
2021-09-03,Islamabad,193.7,236.41,238.54,34.5,30
2021-09-03,Islamabad,178.76,219.55,197.41,32.7,34
2021-09-03,Islamabad,111.65,137.67,109.67,31.5,35
2021-09-03,Islamabad,96.31,115.87,47.98,30.6,38
2021-09-03,Islamabad,96.91,112.79,17.99,30.0,40
2021-09-03,Islamabad,100.04,114.06,10.97,29.7,41
2021-09-03,Islamabad,102.4,115.71,10.11,29.2,44
2021-09-04,Islamabad,102.82,115.84,10.8,28.7,46
2021-09-04,Islamabad,101.88,114.95,14.4,28.2,47
2021-09-04,Islamabad,102.75,116.29,29.47,27.8,49
2021-09-04,Islamabad,105.93,119.37,47.98,27.5,50
2021-09-04,Islamabad,92.92,103.8,28.45,27.2,51
2021-09-04,Islamabad,95.38,106.92,22.62,26.5,60
2021-09-04,Islamabad,101.73,114.53,14.22,26.2,62
2021-09-04,Islamabad,78.41,94.87,5.91,27.2,61
2021-09-04,Islamabad,64.87,82.78,4.63,28.4,59
2021-09-04,Islamabad,60.65,78.56,4.88,29.9,55
2021-09-04,Islamabad,58.44,76.73,5.27,31.4,50
2021-09-04,Islamabad,58.26,77.27,6.6,32.0,49
2021-09-04,Islamabad,56.61,75.82,9.34,32.9,46
2021-09-04,Islamabad,67.22,88.43,90.48,33.6,44
2021-09-04,Islamabad,84.77,109.94,111.04,33.9,43
2021-09-04,Islamabad,99.44,128.79,104.19,34.0,42
2021-09-04,Islamabad,118.06,151.38,122.01,33.9,42
2021-09-04,Islamabad,144.31,182.51,143.95,33.4,41
2021-09-04,Islamabad,166.14,208.29,152.17,32.1,46
2021-09-04,Islamabad,172.74,216.49,148.06,31.1,46
2021-09-04,Islamabad,165.41,207.03,128.87,30.6,46
2021-09-04,Islamabad,146.06,184.51,101.45,29.9,48
2021-09-04,Islamabad,123.08,157.66,73.34,29.2,49
2021-09-04,Islamabad,104.07,132.55,51.41,28.7,50
2021-09-05,Islamabad,91.82,112.47,37.01,28.4,50
2021-09-05,Islamabad,84.63,98.17,12.17,28.0,50
2021-09-05,Islamabad,87.76,99.67,17.14,27.7,51
2021-09-05,Islamabad,88.08,99.24,25.02,27.3,52
2021-09-05,Islamabad,76.7,86.76,13.2,27.0,53
2021-09-05,Islamabad,75.16,84.59,9.6,26.9,54
2021-09-05,Islamabad,78.62,87.58,8.14,26.7,56
2021-09-05,Islamabad,79.59,88.75,6.6,27.7,55
2021-09-05,Islamabad,78.64,87.88,6.08,29.5,50
2021-09-05,Islamabad,77.95,87.08,6.43,31.0,47
2021-09-05,Islamabad,78.11,87.25,8.05,32.2,45
2021-09-05,Islamabad,80.92,90.0,11.82,33.3,42
2021-09-05,Islamabad,82.03,91.19,18.34,33.8,41
2021-09-05,Islamabad,99.48,111.75,127.49,34.7,39
2021-09-05,Islamabad,129.71,146.97,216.6,35.3,36
2021-09-05,Islamabad,161.21,182.66,227.57,35.6,35
2021-09-05,Islamabad,186.73,211.6,219.35,35.7,35
2021-09-05,Islamabad,197.91,226.62,191.93,35.0,37
2021-09-05,Islamabad,199.29,230.92,160.4,33.2,43
2021-09-05,Islamabad,185.41,216.75,132.98,31.7,45
2021-09-05,Islamabad,163.04,193.26,100.08,31.2,45
2021-09-05,Islamabad,136.23,164.93,75.4,30.8,46
2021-09-05,Islamabad,103.62,123.57,58.26,30.4,48
2021-09-05,Islamabad,93.56,109.1,28.45,30.0,49
2021-09-06,Islamabad,88.56,100.4,15.25,29.6,51
2021-09-06,Islamabad,82.66,91.89,12.51,29.3,52
2021-09-06,Islamabad,80.03,88.67,21.42,28.6,55
2021-09-06,Islamabad,80.45,88.9,32.56,28.1,57
2021-09-06,Islamabad,75.33,81.39,19.02,28.0,57
2021-09-06,Islamabad,75.99,81.48,14.22,27.9,60
2021-09-06,Islamabad,81.05,86.37,11.48,28.2,60
2021-09-06,Islamabad,80.61,86.07,8.4,28.7,60
2021-09-06,Islamabad,77.17,83.19,7.63,28.9,62
2021-09-06,Islamabad,77.57,83.98,8.65,29.1,63
2021-09-06,Islamabad,79.03,85.68,11.31,29.9,60
2021-09-06,Islamabad,80.25,87.07,16.11,30.9,57
2021-09-06,Islamabad,79.52,86.46,24.68,32.9,50
2021-09-06,Islamabad,101.16,113.13,169.99,34.1,46
2021-09-06,Islamabad,138.39,158.95,268.7,34.7,43
2021-09-06,Islamabad,170.21,197.83,249.51,35.1,40
2021-09-06,Islamabad,201.57,234.84,235.8,35.2,39
2021-09-06,Islamabad,231.81,269.65,222.09,34.7,41
2021-09-06,Islamabad,241.69,281.19,200.15,33.6,45
2021-09-06,Islamabad,216.17,250.72,163.14,32.6,46
2021-09-06,Islamabad,175.96,204.33,127.49,31.8,49
2021-09-06,Islamabad,141.19,166.91,93.22,31.2,52
2021-09-06,Islamabad,100.89,117.23,39.41,30.7,53
2021-09-06,Islamabad,88.79,98.15,15.42,30.3,55
2021-09-07,Islamabad,86.04,91.44,10.2,30.0,56
2021-09-07,Islamabad,85.92,89.56,8.23,29.5,58
2021-09-07,Islamabad,83.59,87.05,13.37,29.1,59
2021-09-07,Islamabad,81.03,84.65,20.74,28.7,61
2021-09-07,Islamabad,78.52,82.04,16.62,28.8,61
2021-09-07,Islamabad,78.57,82.12,12.68,29.2,61
2021-09-07,Islamabad,80.65,84.2,9.77,29.2,62
2021-09-07,Islamabad,77.65,81.33,6.6,29.0,65
2021-09-07,Islamabad,73.17,77.13,6.94,28.9,68
2021-09-07,Islamabad,72.71,76.84,9.0,29.9,64
2021-09-07,Islamabad,76.11,80.33,12.68,31.3,61
2021-09-07,Islamabad,78.73,82.89,16.62,32.8,53
2021-09-07,Islamabad,80.27,84.33,20.05,34.1,48
2021-09-07,Islamabad,82.76,87.21,32.22,35.0,44
2021-09-07,Islamabad,86.87,92.08,37.36,35.8,40
2021-09-07,Islamabad,89.62,95.29,32.22,36.2,38
2021-09-07,Islamabad,89.28,94.8,22.28,36.0,38
2021-09-07,Islamabad,81.83,86.84,15.77,35.0,41
2021-09-07,Islamabad,73.07,77.13,12.85,33.1,49
2021-09-07,Islamabad,69.02,71.74,8.91,31.8,51
2021-09-07,Islamabad,63.84,65.74,7.28,31.5,52
2021-09-07,Islamabad,55.22,56.71,6.34,31.1,54
2021-09-07,Islamabad,48.32,49.61,6.08,30.6,56
2021-09-07,Islamabad,42.56,43.62,5.66,29.8,60
2021-09-08,Islamabad,37.05,37.94,5.4,29.4,62
2021-09-08,Islamabad,31.62,32.43,6.26,29.1,64
2021-09-08,Islamabad,27.0,28.07,12.0,29.0,66
2021-09-08,Islamabad,23.79,25.17,21.94,28.7,66
2021-09-08,Islamabad,22.29,23.82,25.02,27.0,73
2021-09-08,Islamabad,23.91,25.48,21.42,26.9,76
2021-09-08,Islamabad,24.73,26.16,18.34,26.6,78
2021-09-08,Islamabad,20.96,22.08,15.77,26.8,77
2021-09-08,Islamabad,16.22,17.15,15.77,26.5,78
2021-09-08,Islamabad,13.62,14.49,16.45,27.6,73
2021-09-08,Islamabad,12.46,13.32,17.31,27.4,74
2021-09-08,Islamabad,12.25,13.1,17.48,26.5,79
2021-09-08,Islamabad,12.45,13.31,19.54,24.9,87
2021-09-08,Islamabad,20.96,24.08,44.55,26.1,81
2021-09-08,Islamabad,36.96,44.64,43.53,27.6,73
2021-09-08,Islamabad,52.36,63.89,41.81,28.8,66
2021-09-08,Islamabad,68.33,83.46,42.16,29.3,62
2021-09-08,Islamabad,86.73,106.06,42.84,28.4,65
2021-09-08,Islamabad,101.46,124.28,45.24,27.8,67
2021-09-08,Islamabad,100.46,123.04,46.61,27.0,69
2021-09-08,Islamabad,85.8,106.05,47.3,26.7,70
2021-09-08,Islamabad,64.01,81.01,46.61,26.5,71
2021-09-08,Islamabad,43.32,56.24,43.53,26.3,72
2021-09-08,Islamabad,32.86,43.11,38.04,26.0,72
2021-09-09,Islamabad,25.74,33.54,28.1,25.8,73
2021-09-09,Islamabad,19.85,25.55,21.76,25.6,73
2021-09-09,Islamabad,19.61,25.14,28.1,25.7,71
2021-09-09,Islamabad,21.46,26.99,35.3,26.3,68
2021-09-09,Islamabad,15.82,18.88,29.13,26.4,67
2021-09-09,Islamabad,16.32,18.99,25.02,26.0,68
2021-09-09,Islamabad,18.8,21.24,19.88,25.4,72
2021-09-09,Islamabad,19.35,21.24,12.85,25.4,73
2021-09-09,Islamabad,18.24,19.74,11.48,25.6,72
2021-09-09,Islamabad,15.86,17.15,12.68,26.0,70
2021-09-09,Islamabad,15.33,16.61,15.77,26.8,69
2021-09-09,Islamabad,16.25,17.66,18.68,28.3,64
2021-09-09,Islamabad,16.37,17.91,22.96,29.6,60
2021-09-09,Islamabad,18.64,21.11,45.93,30.6,57
2021-09-09,Islamabad,23.67,28.03,67.17,30.9,57
2021-09-09,Islamabad,29.25,35.54,70.6,30.4,59
2021-09-09,Islamabad,44.85,55.91,65.8,30.1,61
2021-09-09,Islamabad,67.95,85.41,57.58,30.7,57
2021-09-09,Islamabad,87.46,110.05,52.78,29.5,64
2021-09-09,Islamabad,92.05,116.26,47.98,27.6,72
2021-09-09,Islamabad,87.56,111.77,47.3,26.6,78
2021-09-09,Islamabad,73.93,96.05,49.35,26.6,78
2021-09-09,Islamabad,60.35,80.14,47.3,26.1,81
2021-09-09,Islamabad,63.4,84.12,38.39,25.9,83
2021-09-10,Islamabad,67.23,88.18,30.5,25.2,85
2021-09-10,Islamabad,69.01,89.97,25.36,25.3,83
2021-09-10,Islamabad,81.88,104.93,24.68,24.6,84
2021-09-10,Islamabad,107.88,134.65,34.27,24.6,83
2021-09-10,Islamabad,28.11,33.29,45.93,23.4,87
2021-09-10,Islamabad,28.79,33.22,41.13,23.6,86
2021-09-10,Islamabad,33.09,37.4,31.87,23.8,84
2021-09-10,Islamabad,26.65,29.41,14.91,25.2,77
2021-09-10,Islamabad,20.91,22.76,9.94,26.6,70
2021-09-10,Islamabad,18.1,19.54,10.37,27.4,68
2021-09-10,Islamabad,18.47,19.79,13.2,28.4,65
2021-09-10,Islamabad,21.57,22.99,16.45,28.9,64
2021-09-10,Islamabad,23.03,24.51,20.74,29.5,62
2021-09-10,Islamabad,24.19,26.38,38.04,30.2,59
2021-09-10,Islamabad,27.57,31.36,52.09,30.1,60
2021-09-10,Islamabad,30.97,36.2,52.09,29.5,63
2021-09-10,Islamabad,34.05,40.92,50.04,29.3,63
2021-09-10,Islamabad,37.56,46.53,52.78,28.8,65
2021-09-10,Islamabad,40.11,50.59,56.21,28.1,69
2021-09-10,Islamabad,38.83,49.31,53.47,27.5,70
2021-09-10,Islamabad,36.41,46.42,45.24,27.1,71
2021-09-10,Islamabad,34.76,44.43,36.67,26.6,72
2021-09-10,Islamabad,32.6,41.22,29.82,26.2,73
2021-09-10,Islamabad,29.77,36.53,22.28,25.3,77
2021-09-11,Islamabad,26.86,32.1,17.48,25.1,76
2021-09-11,Islamabad,23.43,27.8,17.31,24.8,76
2021-09-11,Islamabad,21.63,26.29,27.08,24.7,74
2021-09-11,Islamabad,20.1,24.99,33.59,24.6,73
2021-09-11,Islamabad,13.92,17.15,26.39,24.5,72
2021-09-11,Islamabad,11.3,13.65,16.97,24.3,72
2021-09-11,Islamabad,10.25,11.91,9.6,24.3,71
2021-09-11,Islamabad,7.36,8.16,5.01,25.4,68
2021-09-11,Islamabad,6.71,7.33,5.31,26.6,65
2021-09-11,Islamabad,6.02,6.64,6.34,27.8,63
2021-09-11,Islamabad,4.88,5.53,7.54,28.9,61
2021-09-11,Islamabad,3.93,4.62,8.4,30.1,56
2021-09-11,Islamabad,3.29,4.0,10.37,30.4,55
2021-09-11,Islamabad,5.87,7.5,32.9,30.3,56
2021-09-11,Islamabad,11.77,15.61,49.35,30.4,54
2021-09-11,Islamabad,18.46,24.69,48.67,30.6,53
2021-09-11,Islamabad,26.2,35.52,47.98,30.0,54
2021-09-11,Islamabad,35.1,48.37,43.53,28.9,57
